beta0,beta1,y_p
216.1,-2.995,165.4
222.7,-3.529,101.2
224.7,-3.548,189.2
219.8,-3.689,119
216.8,-2.621,170.4
223.7,-3.228,208
216.5,-3.87,177.2
226.4,-3.262,142.7
220.2,-3.153,149.7
216.4,-3.253,175.8
227.7,-3.555,209
218.3,-3.585,202.3
217.3,-3.772,176
225.6,-3.664,226.2
216.8,-3.296,156.6
232.1,-3.619,111.9
224.8,-3.413,180.3
216.2,-1.85,238.9
223.1,-3.758,135.7
219.4,-2.795,172.2
219.8,-3.75,112.7
214.6,-3.182,158.7
219.3,-2.585,144.9
222.8,-3.301,162.3
